TID: [2023-01-08 10:43:35,475]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2023-01-08 10:43:50,638] []  INFO {org.ops4j.pax.logging.spi.support.EventAdminConfigurationNotifier} - Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
TID: [] [] [2023-01-08 10:43:50,823] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [] [] [2023-01-08 10:43:50,830] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Windows 10 10.0, amd64
TID: [] [] [2023-01-08 10:43:50,830] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : C:\Program Files\OpenJDK\jdk-11.0.17.8-hotspot
TID: [] [] [2023-01-08 10:43:50,830] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 11.0.17
TID: [] [] [2023-01-08 10:43:50,830] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : OpenJDK 64-Bit Server VM 11.0.17+8-adhoc..jdk11u,OpenLogic
TID: [] [] [2023-01-08 10:43:50,830] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : C:\Users\AABOUE~1.C\DOCUME~1\WSO2\WSO2IS~1.0\bin\..
TID: [] [] [2023-01-08 10:43:50,830] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : C:\Users\AABOUE~1.C\DOCUME~1\WSO2\WSO2IS~1.0\bin\..\tmp
TID: [] [] [2023-01-08 10:43:50,830] []  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : aabouelenein.c, en-US, Asia/Riyadh
TID: [] [] [2023-01-08 10:43:51,096] []  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} - Successfully deployed the Kafka output event adaptor service
TID: [] [] [2023-01-08 10:43:51,552] []  INFO {org.wso2.carbon.identity.hash.provider.pbkdf2.internal.PBKDF2HashServiceComponent} - PBKDF2 bundle activated successfully.
TID: [] [] [2023-01-08 10:43:51,623] []  INFO {org.wso2.carbon.identity.oauth.uma.grant.internal.UMA2GrantServiceComponent} - Policy evaluator registered successfully: DefaultPolicyEvaluator
